AREA,N° CRUCE,INTERSECCIÓN,Controlador tipo,Centralizado ,Restan cambiar,En sistema,Conexión,Proyecto,Subárea,Edad
4,4323,Córdoba Av.-Godoy Cruz,Autotrol CT800dmc,SI,1,Citar,Par telefónico,Córdoba / Thames,405,1
4,4324,Jufré-Thames,Autotrol CT800dmc,SI,,A30,Par telefónico,Córdoba / Thames,405,1
4,4325,Córdoba Av.-Humboldt,Autotrol CT800dmc,SI,1,Citar,Par telefónico,Córdoba/Dorrego,403,1
4,4326,Córdoba Av.-Fitz Roy,Autotrol CT800dmc,SI,1,Citar,Par telefónico,Córdoba/Dorrego,403,1
4,4327,Córdoba Av.-Bonpland,Autotrol CT800dmc,SI,1,Citar,Par telefónico,Córdoba/Dorrego,403,1
4,4328,Córdoba Av.-Carranza Adolfo P.,Autotrol CT800dmc,SI,1,Citar,Par telefónico,Córdoba/Dorrego,403,1
4,4329,Córdoba Av.-Ravignani Emilio Dr.,Autotrol CT800dmc,SI,1,Citar,Par telefónico,Córdoba/Dorrego,403,1
4,4330,Córdoba Av.-Arévalo-Dorrego Av.,Autotrol CT800dmc,SI,1,Citar,Par telefónico,Córdoba/Dorrego,403,1
4,4331,Córdoba Av.-Arenal Concepción,Autotrol CT800dmc,SI,1,Citar,Par telefónico,Córdoba/Dorrego,403,1
4,4332,Córdoba Av.-Santos Dumont,Autotrol CT800dmc,SI,1,Citar,Par telefónico,Córdoba/Dorrego,403,1
4,4333,Córdoba Av.-Newbery Jorge,Autotrol CT800dmc,SI,1,Citar,Par telefónico,Córdoba/Dorrego,403,1
4,4334,Vega Niceto Cnel.-Thames,Autotrol CT800dmc,SI,,A30,Par telefónico,Córdoba / Thames,405,1
4,4335,Vega Niceto Cnel.-Godoy Cruz,Autotrol CT800dmc,SI,,A30,Par telefónico,Córdoba / Thames,405,1
4,4336,Vega Niceto Cnel.-Armenia,Autotrol CT800dmc,SI,1,A30,Par telefónico,Córdoba / Thames,405,1
4,4337,Vega Niceto Cnel.- Carranza,Autotrol CT800dmc,SI,,A30,Par telefónico,Córdoba/Dorrego,403,1
4,4338,Thames-Costa  Rica,Autotrol CT800dmc,NO,,Aislado,,Córdoba / Thames,405,1
4,4339,Serrano-El Salvador,Autotrol CT800dmc,NO,,Aislado,,Córdoba / Thames,405,1
4,4340,Alvarez Thomas Av.-Newbery Jorge,Autotrol CT800dmc,SI,,A30,Par telefónico,Córdoba/Dorrego,403,1
4,4341,Alvarez Thomas Av.-Maure,Autotrol CT800dmc,SI,,A30,Par telefónico,Lacroze / Álvarez Thomas,402,1
4,4342,Alvarez Thomas Av.-Olleros,Autotrol CT800dmc,SI,1,A30,Par telefónico,Lacroze / Álvarez Thomas,402,1
4,4343,Alvarez Thomas Av.-Lacroze Federico Av.,Autotrol CT800dmc,SI,,A30,Par telefónico,Lacroze / Álvarez Thomas,402,1
4,4344,Alvarez Thomas Av.-García Teodoro,Autotrol CT800dmc,SI,,A30,Par telefónico,Lacroze / Álvarez Thomas,402,1
4,4345,Alvarez Thomas Av.-Céspedes,Autotrol CT800dmc,SI,,Icarus,Par telefónico,-,401,1
4,4346,Alvarez Thomas Av.-Pérez Gregoria,Autotrol CT800dmc,SI,,Icarus,Par telefónico,-,401,1
4,4347,Alvarez Thomas Av.-Zabala,Autotrol CT800dmc,SI,,Icarus,Par telefónico,-,401,1
